"Web ID","Region of Incident","Reported Date","Reported Year","Reported Month","Number Dead","Minimum Estimated Number of Missing","Total Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Cause of Death","Location Description","Information Source","Location Coordinates","Migration Route","URL","UNSD Geographical Grouping","Source Quality"
"39294","US-Mexico Border","May 10, 2014","2014","May","1","","1","","","1","","Unknown (multiple blunt force injuries)","Pima County","Pima County Office of the Medical Examiner","32.058118300000, -111.623576100000","Central America to US","","Northern America","5"
"39387","North Africa","May 09, 2014","2014","May","13","33","46","","","","","Starvation, Exhaustion","Desert in southern Algeria","Reuters and Middle East eye","23.530167200000, 1.853194100000","","http://bit.ly/1ujLNLW, http://reut.rs/1pGZhU9","Northern Africa","3"
"39293","US-Mexico Border","May 08, 2014","2014","May","1","","1","","","1","","Unknown (skeletal remains)","Pima County","Pima County Office of the Medical Examiner","32.058118300000, -111.623576100000","Central America to US","","Northern America","5"
"39239","Mediterranean","May 07, 2014","2014","May","1","0","1","","","1","","Unknown","Mediterranean waters","ANSA Med","35.819600000000, 11.755400000000","Central Mediterranean","http://bit.ly/1iVme2J","Uncategorized","1"
"39292","US-Mexico Border","May 06, 2014","2014","May","1","","1","","","","","Unknown (skeletal remains)","Pima County","Pima County Office of the Medical Examiner","32.058118300000, -111.623576100000","Central America to US","","Northern America","5"
"39386","Mediterranean","May 06, 2014","2014","May","44","33","77","53","","","","Drowning","Coast of Libya","Relief Web/UNHCR","32.680100000000, 15.996100000000","Central Mediterranean","http://bit.ly/1okLiQ5","Uncategorized","4"
"39408","Mediterranean","May 05, 2014","2014","May","22","7","29","36","","","","Drowning","Waters near Greece","BBC","37.848433000000, 27.111533000000","Central Mediterranean","http://bbc.in/1saJIBD","Uncategorized","1"
"39238","Europe","May 02, 2014","2014","May","1","0","1","0","0","1","1","Fall from truck","Calais","Calais Migrant Solidarity","50.951300000000, 1.858690000000","Calais to United Kingdom","http://bit.ly/1nMFzWd","Western Europe","4"
"39237","Mediterranean","May 02, 2014","2014","May","4","0","4","80","","","","Drowning","Coast of Libya","Relief Web ","33.104500000000, 14.348100000000","Central Mediterranean","http://bit.ly/1okLiQ5","Uncategorized","1"
"39197","Caribbean","May 01, 2014","2014","May","6","3","9","16","","","","Drowning","Dominican Republic, near Boca Chica and Juan Dolio","Dominican Today","18.307900000000, -69.581900000000","","http://bit.ly/1pGZg2g","Caribbean","1"
"39291","US-Mexico Border","May 01, 2014","2014","May","1","","1","","","","","Unknown (skeletal remains)","Pima County","Pima County Office of the Medical Examiner","32.058118300000, -111.623576100000","Central America to US","","Northern America","5"
