"Web ID","Region","Reported Date","Reported Year","Reported Month","Number Dead","Minimum Estimated Number of Missing","Total Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Cause of Death","Location Description","Information Source","Location Coordinates","Migration Route","URL","UNSD Geographical Grouping","Source Quality"
"43125","North Africa","February 21, 2016","2016","Feb","2","","2","","","","","Sickness and lack of access to medicines","Kurfrah, Libya","Mixed Migration Monitoring Mechanism Initiative (4Mi)","23.248841300000, 19.724216100000","","","Northern Africa","2"
"43126","North Africa","February 21, 2016","2016","Feb","1","","1","","","","","Sickness and lack of access to medicines","Qalabat, Sudan","Mixed Migration Monitoring Mechanism Initiative (4Mi)","13.973173700000, 35.343169100000","","","Northern Africa","2"
"43127","North Africa","February 21, 2016","2016","Feb","30","","30","","","","","Sickness and lack of access to medicines","Umm Al Aranib, Libya","Mixed Migration Monitoring Mechanism Initiative (4Mi)","26.139565200000, 14.726786600000","","","Northern Africa","2"
"43128","North Africa","February 21, 2016","2016","Feb","5","","5","","","","","Sickness and lack of access to medicines","Khartoum, Sudan","Mixed Migration Monitoring Mechanism Initiative (4Mi)","15.501534100000, 32.502556100000","","","Northern Africa","2"
"43129","North Africa","February 21, 2016","2016","Feb","3","","3","","","","","Sickness and lack of access to medicines","Kurfrah, Libya","Mixed Migration Monitoring Mechanism Initiative (4Mi)","23.248841300000, 19.724216100000","","","Northern Africa","2"
"43130","North Africa","February 21, 2016","2016","Feb","3","","3","","","","","Sickness and lack of access to medicines","Kurfrah, Libya","Mixed Migration Monitoring Mechanism Initiative (4Mi)","23.248841300000, 19.724216100000","","","Northern Africa","2"
"43131","North Africa","February 21, 2016","2016","Feb","1","","1","","","","","Sickness and lack of access to medicines","Shandi, Sudan","Mixed Migration Monitoring Mechanism Initiative (4Mi)","16.679729400000, 33.429765500000","","","Northern Africa","2"
"43132","North Africa","February 21, 2016","2016","Feb","28","","28","","","","","Sickness and lack of access to medicines","Kurfrah, Libya","Mixed Migration Monitoring Mechanism Initiative (4Mi)","23.248841300000, 19.724216100000","","","Northern Africa","2"
"43133","North Africa","February 21, 2016","2016","Feb","1","","1","","","","","Sickness and lack of access to medicines","Qalabat, Sudan","Mixed Migration Monitoring Mechanism Initiative (4Mi)","13.973173700000, 35.343169100000","","","Northern Africa","2"
"43134","North Africa","February 21, 2016","2016","Feb","6","","6","","","","","Sickness and lack of access to medicines","Sabha, Libya","Mixed Migration Monitoring Mechanism Initiative (4Mi)","27.029507800000, 14.389083500000","","","Northern Africa","2"
"43135","North Africa","February 21, 2016","2016","Feb","3","","3","","","","","Sickness and lack of access to medicines","Qalabat, Sudan","Mixed Migration Monitoring Mechanism Initiative (4Mi)","13.973173700000, 35.343169100000","","","Northern Africa","2"
"43136","North Africa","February 21, 2016","2016","Feb","1","","1","","","","","Starvation","Kurfrah, Libya","Mixed Migration Monitoring Mechanism Initiative (4Mi)","23.248841300000, 19.724216100000","","","Northern Africa","2"
"43117","North Africa","February 20, 2016","2016","Feb","1","","1","","","","","Sickness and lack of access to medicines","Aswan, Egypt","Mixed Migration Monitoring Mechanism Initiative (4Mi)","23.285107000000, 31.520455700000","","","Northern Africa","2"
"42526","US-Mexico Border","February 19, 2016","2016","Feb","1","","1","","","1","","Drowning","Rio Grande under the International Miguel Aleman-Roma Bridge, Starr County, Texas","La Tarde","26.547504500000, -98.866289900000","Central America to US","http://bit.ly/22hjuxg","Northern America","1"
"42677","Central America","February 19, 2016","2016","Feb","1","","1","","","1","","Fall from train","Train tracks near Coatzacoalcos, Veracruz, Mexico","Coatza Digital","18.268156600000, -95.896946100000","Central America to US","http://bit.ly/2c2uyN1","Central America","1"
"42866","Mediterranean","February 19, 2016","2016","Feb","2","","2","","","","","Drowning","off the coast of Siculiana in Western Sicily","Reuters","37.308839200000, 13.322824900000","Central Mediterranean","http://reut.rs/1PKCwbF","Uncategorized","1"
