"Web ID","Region of Incident","Reported Date","Reported Year","Reported Month","Number Dead","Minimum Estimated Number of Missing","Total Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Cause of Death","Location Description","Information Source","Location Coordinates","Migration Route","URL","UNSD Geographical Grouping","Source Quality"
"44821","Europe","May 25, 2018","2018","May","1","","1","","","1","","Hypothermia","Frejus stream, near Col de l'Échelle mountain pass, Bardonecchia, Piedmont, Ital","La Reppublica, Le Monde","45.074303924026, 6.656322815225","Italy to France","https://bit.ly/2INmnb8, https://lemde.fr/2KXN6hV, https://bit.ly/2vepHCL","Southern Europe","3"
"44820","US-Mexico Border","May 24, 2018","2018","May","2","","2","","","2","","Drowning","Río Bravo, between Nuevo Laredo, Tamaulipas, Mexico, and Laredo, Webb County, Texas","El Mañana, Líderweb","27.477019753632, -99.481245090707","","https://bit.ly/2GOiY6g, https://bit.ly/2KUJiOq, https://bit.ly/2xqyLZg","Northern America","3"
"44819","Mediterranean","May 24, 2018","2018","May","4","14","18","12","2","2","","Presumed drowning","Benmansour beach, near Kenitra, Morocco","EFE, Hespress","34.522568371876, -6.495380873535","Western Mediterranean","https://bit.ly/2scVYcr, https://bit.ly/2ktDLTO","Uncategorized","3"
"44817","US-Mexico Border","May 23, 2018","2018","May","1","","1","3","1","","","Shot","Near Río Bravo, Webb County, Texas, USA","The Monitor, USA Today, La Gente, The Guardian","27.362664159925, -99.491800304321","","https://bit.ly/2KPbvGh, https://usat.ly/2kmLqTW, https://bit.ly/2xbL5wp, https://bit.ly/2IV8vYz","Northern America","3"
"44818","North Africa","May 23, 2018","2018","May","15","","15","25","","","","Shot","Outside Bani Walid, Libya","Migrace, MSF","31.797583100000, 14.053676000000","","https://bit.ly/2kotRCT, https://bit.ly/2IV6yLz","Northern Africa","4"
"44921","US-Mexico Border","May 23, 2018","2018","May","1","","1","","","","","Unknown","Near Armstrong, Kenedy County, Texas, USA","US Border Patrol","26.874706501241, -97.828348448438","","https://bit.ly/2Jb3sqm","Northern America","5"
"44920","US-Mexico Border","May 23, 2018","2018","May","1","","1","1","","1","","Unknown","Private ranch, 198 County Road 226, near Falfurrias, Brooks County, Texas, USA","US Border Patrol, South Texas Human Rights Center","27.157295900000, -98.066475600000","","https://bit.ly/2Jb3sqm","Northern America","5"
"44816","Central America","May 22, 2018","2018","May","1","","1","106","","1","","Shot","Road between San Francisco Telixtlahuaca, Oaxaca, and Tehuacán, Puebla, Mexico","El Diario, NVI Noticias","17.315722565722, -96.924536673633","","https://bit.ly/2ILoWL6, https://bit.ly/2KMby5I","Central America","3"
"44815","Middle East","May 22, 2018","2018","May","1","","1","70","","","","Vehicle Accident","Road near Bayramli, Van province, Turkey","Anadolu Agency","41.306921000000, 26.823232900000","","https://bit.ly/2IWV2ma","Western Asia","1"
"44814","US-Mexico Border","May 21, 2018","2018","May","1","","1","","","1","","Unknown","North of Mexico's border towns of Candelaria and Cajoncitos, likely in Presidio County, Texas, USA","El Milenio, López Doriga","30.695368850719, -104.876604489060","","https://bit.ly/2KGQkX1, https://bit.ly/2IUNYqa","Northern America","1"
"44813","Europe","May 21, 2018","2018","May","1","","1","2","","1","","Drowning","Kolpa/Kupa river, near Rosalnicah, Metlika municipality, Slovenia","Slovenian Police via IOM Slovenia, Delo","45.646072730881, 15.343396132324","Western Balkans","https://bit.ly/2kgliK8","Southern Europe","5"
"44859","US-Mexico Border","May 21, 2018","2018","May","1","","1","","","","","Probable hyperthermia","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","31.578054600000, -110.122208600000","","http://humaneborders.info/","Northern America","5"
"44875","Europe","May 20, 2018","2018","May","1","","1","","","1","","Drowning","Korana river, Cazin, Bosnia and Herzegovina, near border with Croatia","Nezavisne, InfoMigrants, AFP","45.059379986472, 15.745713395740","Western Balkans","https://bit.ly/2MCAe2q, https://bit.ly/2xEY1LI, https://bit.ly/2LZRlKh","Southern Europe","3"
"44812","Sub-Saharan Africa","May 19, 2018","2018","May","7","","7","22","","","7","Drowning","Lake Mweru, Chiengi district, Luapula Province, Zambia","Ministry of Home Affairs of Zambia via IOM Zambia, The East African, Xinhua","-8.962610158582, 28.792533329297","","https://bit.ly/2GCW1CU, https://bit.ly/2s0XuOb, https://bit.ly/2kmqADX","Eastern Africa","5"
"44811","US-Mexico Border","May 19, 2018","2018","May","1","","1","","","1","","Unknown (skeletal remains)","Hamilton Ranch, Carrizo Springs, Dimmit County, Texas, US","Zócalo, Telemundo San Antonio","28.442262170862, -100.030898785940","","https://bit.ly/2KO9xWQ, https://bit.ly/2KJBhvF","Northern America","3"
"44810","Europe","May 18, 2018","2018","May","1","","1","","","1","","Unknown","Forest near Alberts, Montgenèvre, Hautes-Alpes, France","20minutes.fr, InfoMigrants, DICI","44.937166942526, 6.710634687744","","https://bit.ly/2khzJxM, https://bit.ly/2ISGFiX, https://bit.ly/2GwPae5","Western Europe","3"
"44858","US-Mexico Border","May 17, 2018","2018","May","1","","1","","","","","Unknown (skeletal remains)","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","31.526841700000, -111.642396600000","","http://humaneborders.info/","Northern America","5"
"44809","Europe","May 17, 2018","2018","May","1","","1","","1","","1","Shot","E42 highway near Maisierès, Mons, Belgium","BBC, rtbf.be, Europe1","50.488407374992, 3.976906142944","","https://bbc.in/2x8goIq, https://bit.ly/2IunB6Y, https://bit.ly/2LcnVJy","Western Europe","3"
"45803","US-Mexico Border","May 16, 2018","2018","May","1","","1","","","","","Unknown","Cage Ranch, Brooks County, Texas, USA","South Texas Human Rights Center","27.046967400000, -98.250055400000","","","Northern America","4"
"44857","US-Mexico Border","May 16, 2018","2018","May","1","","1","","","1","","Unknown (skeletal remains)","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","32.033764900000, -112.913721700000","","http://humaneborders.info/","Northern America","5"
"45840","Central America","May 15, 2018","2018","May","1","","1","","","1","","Hit by train","Train tracks between Avenida I and J, Caborca, Sonora, Mexico","Edgar Molina via Twitter, Las Noticias de la Frontera","30.719405324177, -112.156704721700","Central America to US","https://bit.ly/2OpoW1t, https://bit.ly/2OXYZr3","Central America","3"
"44806","Mediterranean","May 14, 2018","2018","May","7","","7","12","","","3","Drowning","Off the coast of Babakale, Ayvacık, Çanakkale province, Turkey","Turkish Coast Guard via IOM Turkey","39.458858375437, 26.058644190430","Eastern Mediterranean","https://bit.ly/2jVJrWg","Uncategorized","5"
"44800","Mediterranean","May 13, 2018","2018","May","9","","9","","","2","","Drowning","Bodies washed up in Karpaz, northern Cyprus","IOM Turkey, Kibrik Postasi, Reuters","35.473177364902, 34.293756766172","Eastern Mediterranean","https://bit.ly/2KZt2wv, https://tmsnrt.rs/2rBMGqj","Uncategorized","4"
"44805","US-Mexico Border","May 13, 2018","2018","May","1","","1","","","1","","Drowning","Río Bravo, near La Galeana, Matamoros, Tamaulipas, Mexico","Debate, El Mañana, Expreso","25.887315677911, -97.511938065082","","https://bit.ly/2k2WWnc, https://bit.ly/2k4yEJJ, https://bit.ly/2L8OSxJ","Central America","3"
"44882","Middle East","May 13, 2018","2018","May","1","","1","","","1","","Shot","Syria-Turkey border, near Darkush, Idlib Governorate, Syria","Syrian Observatory for Human Rights","36.001287936694, 36.370466152734","","http://www.syriahr.com/en/?p=92036","Western Asia","4"
"44856","US-Mexico Border","May 13, 2018","2018","May","1","","1","","","1","","Dehydration","Pima County jurisdiction, Arizona, USA","Pima County Office of the Medical Examiner","31.968432000000, -112.080649500000","","http://humaneborders.info/","Northern America","5"
"44829","US-Mexico Border","May 12, 2018","2018","May","1","","1","","","1","","Drowning","Río Bravo, between Nuevo Laredo, Tamaulipas, Mexico, and Laredo, Webb County, Texas","US Border Patrol","27.487073581809, -99.480178888367","","https://bit.ly/2MZJQV0","Northern America","5"
"44807","Mediterranean","May 12, 2018","2018","May","1","","1","","","1","","Presumed drowning","Off the coast of Al Khums, Libya","IOM Libya, Libya Coast Guard","32.672917004916, 14.273392064062","Central Mediterranean","https://www.facebook.com/CoastGuardly/posts/1744320562322300","Uncategorized","5"
"45802","US-Mexico Border","May 11, 2018","2018","May","1","","1","","","1","","Unknown","La Cantina Ranch, Brooks County, Texas, USA","South Texas Human Rights Center","27.254240500000, -98.365479300000","","","Northern America","4"
"44804","US-Mexico Border","May 11, 2018","2018","May","1","","1","","","1","","Drowning","Río Bravo, near Éjido El Refugio, Matamoros, Tamaulipas, Mexico","Expreso","25.843919501435, -97.371762333435","","https://bit.ly/2L8OSxJ","Central America","1"
